Species,Taxa2,Taxa,Class,Order,Family,Genus,Commercial,Origin,Online link,Habitat
Dentex macrophthalmus,Fish,Osteichthyes,Actinopterygii,Perciformes,Sparidae,Dentex,Y,N,,Demersal fish
Dentex maroccanus,Fish,Osteichthyes,Actinopterygii,Perciformes,Sparidae,Dentex,Y,N,,Demersal fish
Dentex sp.,Fish,Osteichthyes,Actinopterygii,Perciformes,Sparidae,Dentex,Y,N,,Demersal fish
Diplodus annularis,Fish,Osteichthyes,Actinopterygii,Perciformes,Sparidae,Diplodus,Y,N,,Demersal fish
Diplodus cervinus,Fish,Osteichthyes,Actinopterygii,Perciformes,Sparidae,Diplodus,Y,N,,Demersal fish
Diplodus sargus,Fish,Osteichthyes,Actinopterygii,Perciformes,Sparidae,Diplodus,Y,N,,Demersal fish
Diplodus vulgaris,Fish,Osteichthyes,Actinopterygii,Perciformes,Sparidae,Diplodus,Y,N,,Demersal fish
Dussumieria elopsoides,Fish,Osteichthyes,Actinopterygii,Clupeiformes,Clupeidae,Dussumieria,Y,I,,Pelagic fish
Echelus myrus,Fish,Osteichthyes,Actinopterygii,Anguilliformes,Ophichthidae,Echelus,N,N,https://www.fishbase.se/summary/Echelus-myrus,Demersal fish
Echeneis naucrates,Fish,Osteichthyes,Actinopterygii,Perciformes,Echenidae,Echeneis,N,N,https://www.fishbase.se/summary/Echeneis-naucrates,Demersal fish
Encrasicholina gloria,Fish,Osteichthyes,Actinopterygii,Clupeiformes,Engrualidae,Encrasicholina,Y,I,,Pelagic fish
Engraulis encrasicolus,Fish,Osteichthyes,Actinopterygii,Clupeiformes,Engrualidae,Engraulis,Y,N,,Pelagic fish
Epinephelus aeneus,Fish,Osteichthyes,Actinopterygii,Perciformes,Serranidae,Epinephelus,Y,N,,Demersal fish
Epinephelus costae,Fish,Osteichthyes,Actinopterygii,Perciformes,Serranidae,Epinephelus,Y,N,,Demersal fish
Epinephelus marginatus,Fish,Osteichthyes,Actinopterygii,Perciformes,Serranidae,Epinephelus,Y,N,,Demersal fish
